ticker,K,M,S,T,r,q,ask,bid,mid,iv_ask,iv_mid,iv_bid,last_price,volume,volume_1d,open_interest,theo_iv,theo_price,parity,delta_last,gamma_last,theta_last,vega_last,delta_mid,gamma_mid,theta_mid,vega_mid,rho_mid,ival,true,ylast,days_ex,FF,x
SPX 5/16/25 P2500,2500,0.484665266690849,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.449999988079071,0.150000035762787,0.300000011920929,0.9116978454589839,0.879856262207031,0.83159003160818,0.5,221.0,12.0,15870.0,0.9318989556169559,0.567734746847681,,-0.00129017338622361,0.000170179816450771,-0.100273515655376,0.0595712753736715,-0.000833806174341589,0.000118784977530595,-0.0648505836725235,0.0400035493075848,-3.11263429466635e-05,,,0.300000011920929,24.7256481481481,5167.653760417378,-0.7261280355384955
SPX 5/16/25 P2600,2600,0.504051877358483,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.550000011920929,0.25,0.4000000059604645,0.881248321533203,0.856026306152344,0.8220476102753329,0.400000005960464,428.0,8.0,16618.0,0.9099678838568479,0.763893525300199,,-0.00112094730138779,0.000160410127136856,-0.0825378596782684,0.0524741448462009,-0.0011190528748557,0.000159962408361025,-0.0826629623770714,0.0524119511246681,-4.17565206589643e-05,,,0.5,24.7256481481481,5167.653760417378,-0.6869073223852142
SPX 5/16/25 P2700,2700,0.523438488026117,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.649999976158142,0.349999964237213,0.4999999701976775,0.849007034301758,0.82817512512207,0.8019814300537109,0.649999976158142,72.0,1.0,14315.0,0.886697411902599,0.998972977876036,,-0.00174480595160276,0.000240157655394657,-0.124432105450755,0.0791967545385034,-0.00142163049895316,0.000205807184102014,-0.0995343178510666,0.0652303174138069,-5.29850149177946e-05,,,0.5,24.7256481481481,5167.653760417378,-0.6491669944023672
SPX 5/16/25 P2800,2800,0.542825098693751,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,0.800000011920929,0.5,0.6500000059604645,0.820922927856445,0.804346542358398,0.7846592813048019,0.660000026226044,20.0,12.0,6210.0,0.862220125918592,1.27459132540088,,-0.0018870058702305,0.00027371768373996,-0.125335842370987,0.0844853892922401,-0.00186496018432081,0.000271353957941756,-0.1237882822752,0.0835306942462921,-6.94699047016911e-05,,,0.699999988079071,24.7256481481481,5167.653760417378,-0.6127993502314922
SPX 5/16/25 P2900,2900,0.562211709361385,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,1.0,0.699999988079071,0.8499999940395355,0.794746932983398,0.7815554046630859,0.7665377807617191,0.870000004768372,14.0,,5547.0,0.8366942474818331,1.59242577149011,,-0.00249957363121212,0.00036303183878772,-0.157321408390999,0.109009690582752,-0.00245450809597969,0.000358153891284019,-0.15434293448925,0.107157491147518,-9.13923431653529e-05,,,1.01999998092651,24.7256481481481,5167.653760417378,-0.5777080304202222
SPX 5/16/25 P3000,3000,0.581598320029019,5158.2,0.06774150177574821,0.04549176,0.018461270000000002,1.25,0.899999976158142,1.074999988079071,0.769711532592773,0.757348480224609,0.743521985377902,1.35000002384186,17.0,874.0,13367.0,0.8103033835150409,1.95498170106042,,-0.00383905973285437,0.000545468321334599,-0.224833509000533,0.159444094010414,-0.00314071867614985,0.000461818330222741,-0.186765089631081,0.13385471701622,-0.000116857743705623,,,1.10000002384186,24.7256481481481,5167.653760417378,-0.5438064787445409
SPX 5/16/25 P3050,3050,0.591291625362836,5158.2,0.06774150177574821,0.04548025,0.01846128,1.39999961853027,1.04999923706055,1.2249994277954102,0.7574524688720701,0.7464243316650391,0.7341938018798829,1.47000002861023,2.0,,2098.0,0.796846952633974,2.15426872857836,,-0.00421637436375022,0.000604142811994126,-0.24053000601432,0.17363885011184,-0.00358896492980421,0.000528277247212827,-0.207519814372063,0.150908753275871,-0.000133510024170391,,,1.60000002384186,24.7256481481481,5167.649727674457,-0.5272763964112301
SPX 5/16/25 P3100,3100,0.600984930696653,5158.2,0.06774150177574821,0.04548025,0.01846128,1.54999923706055,1.19999980926514,1.374999523162845,0.744440307617188,0.734436874389648,0.723646688690047,1.52999997138977,9.0,,6755.0,0.783252232074541,2.3665304052287,,-0.0043169716373086,0.000617620787099309,-0.249154976141674,0.179967359010387,-0.00405038380995393,0.000598380865994841,-0.227565422654152,0.168189525604248,-0.000150621010106988,,,2.25,24.7256481481481,5167.649727674457,-0.5110158755394497
SPX 5/16/25 P3150,3150,0.61067823603047,5158.2,0.06774150177574821,0.04548025,0.01846128,1.75,1.39999961853027,1.574999809265135,0.733213577270508,0.7243547058105471,0.7148195271764359,2.20000004768372,,,4716.0,0.769546496575927,2.59273861618997,,-0.0055669997818768,0.000733032759008865,-0.338578592768083,0.231443846705845,-0.00464903563261032,0.000686255225446075,-0.253863334655762,0.190240830183029,-0.000172868371009827,,,2.20000004768372,24.7256481481481,5167.649727674457,-0.4950155341930086
SPX 5/16/25 P3200,3200,0.620371541364287,5158.2,0.06774150177574821,0.04548025,0.01846128,1.94999980926514,1.60000038146973,1.775000095367435,0.720734558105469,0.712825012207031,0.704226989746094,1.75,50.0,,5614.0,0.755756782487054,2.83409353200414,,-0.00517615769058466,0.000765685283113271,-0.275863200426102,0.209851205348969,-0.00526814535260201,0.000779501744545996,-0.279192358255386,0.212617740035057,-0.000195800865185447,,,2.04999995231628,24.7256481481481,5167.649727674457,-0.4792671772248694
