,x,w,vega_mid
322,0.1006763102162236,0.0036854183571035123,1.48001301288605
323,0.1015508183611562,0.003679510081877606,1.44388127326965
324,0.1024245624097531,0.003660027063960659,1.39752864837646
325,0.1032975436960978,0.003662002545224005,1.36447715759277
326,0.1041697635507837,0.003662515061738379,1.33444273471832
327,0.1050412233009246,0.0036488632964729677,1.29311501979828
328,0.1059119242701686,0.0036588670866302925,1.26648116111755
329,0.1067818677787088,0.0036278933610761,1.22143983840942
330,0.1076510551432955,0.0036484507598864,1.20149219036102
331,0.1085194876772495,0.003626421737520664,1.15845036506653
332,0.1093871666904721,0.0036449044855575014,1.13947224617004
333,0.1102540934894578,0.0036332618384887403,1.1051744222641
334,0.1111202693773069,0.0036194058164350376,1.06873822212219
335,0.1119856956537358,0.003618890861390895,1.04254186153412
336,0.1128503736150895,0.003616810621563265,1.01388168334961
337,0.1137143045543535,0.0036130794619190806,0.984933137893677
338,0.1145774897611646,0.0036245819885836004,0.964216411113739
339,0.1154399305218233,0.0036002772690012803,0.927855312824249
340,0.1163016281193045,0.003626933520960822,0.915198087692261
341,0.1171625838332694,0.003625898584470072,0.88941353559494
342,0.1180227989400774,0.0036232811169321687,0.864468455314636
343,0.1188822747127962,0.00358964868949483,0.825160503387451
344,0.1197410124212138,0.003612924500885326,0.813089728355408
345,0.1205990133318507,0.003635801607799489,0.80066841840744
346,0.121456278707969,0.003626849301734736,0.77430385351181
347,0.1223128098095853,0.003637512942372574,0.75832325220108
348,0.1231686078934814,0.0036361578032560555,0.735627293586731
349,0.1240236742132147,0.003644636735840026,0.718420565128326
350,0.1248780100191303,0.0036285866325801606,0.691815316677094
351,0.1257316165583709,0.0036464208042162505,0.678634345531464
352,0.1265844950748884,0.0036636753869947695,0.665915727615356
353,0.1274366468094547,0.00365501463183371,0.643850982189178
354,0.1282880729996724,0.0036442908165902604,0.621455371379852
355,0.1291387748799851,0.0036584958263590796,0.607865393161774
356,0.1299887536816897,0.0036719806597635823,0.595657348632812
357,0.1308380106329451,0.0036847151934492734,0.583535254001617
358,0.1316865469587839,0.0036966668436941652,0.570306181907654
359,0.1325343638811234,0.0037078008729594606,0.55731600522995
360,0.1333814626187754,0.0037180804573435783,0.54444408416748
361,0.1342278443874565,0.003727466025240005,0.532082438468933
362,0.1350735103997998,0.0037359157152686583,0.518602788448334
363,0.1359184618653639,0.0037433826256557364,0.506136000156403
364,0.1367626999906445,0.0037498180469624017,0.493098884820938
365,0.1376062259790838,0.0037551686341204416,0.480265140533447
366,0.138449041031081,0.0037414658725055516,0.46146622300148
367,0.1392911463440032,0.0037987104825910156,0.464516252279282
368,0.1401325431121949,0.003801523255735635,0.451394081115723
369,0.140973232526988,0.0038220273498947317,0.444353997707367
370,0.1418132157767131,0.0038227820970687717,0.431145817041397
371,0.1426524940467081,0.003842090660472468,0.423674911260605
372,0.1434910685193291,0.00386096116637032,0.416220366954803
373,0.1443289403739604,0.003858584906020926,0.402911633253098
374,0.1451661107870239,0.0038760937254810005,0.39545613527298
375,0.14600258093199,0.003893099237162515,0.388011068105698
376,0.1468383519793862,0.0038871478291090224,0.374566048383713
377,0.1476734250968076,0.0039255193748244585,0.373143970966339
378,0.1485078014489272,0.0039174456051978175,0.359643667936325
379,0.1493414821975047,0.003955676211018955,0.358468562364578
380,0.1501744685013965,0.00394530943344412,0.344955444335938
381,0.1510067615165659,0.003983380534999471,0.343891859054565
382,0.1518383623960919,0.0039962476084414115,0.335421204566956
383,0.1526692722901793,0.004008419611389007,0.328433483839035
